trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_exact_token_match,metric_final_cache_tokens,metric_first_mismatch_index,metric_max_cache_tokens,metric_new_tokens,metric_peak_memory_mb,metric_prompt_tokens,metric_text_similarity,metric_token_match_rate,metric_tokens_per_second,metric_wall_time_s
e2e_kv_cache_qwen2.5_0.5b_t0001,completed,0.0002,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,code_complex,135.5,1.0,151.0,-1.0,151.0,32.0,997.63623046875,120.0,1.0,1.0,14.02924523396422,2.280949507000514
e2e_kv_cache_qwen2.5_0.5b_t0002,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,code_complex,43.53125,0.0,46.0,1.0,120.0,32.0,997.7119140625,120.0,0.21428571428571427,0.03125,17.56669528396989,1.8216289109996069
e2e_kv_cache_qwen2.5_0.5b_t0003,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,43.53125,0.0,46.0,1.0,120.0,32.0,997.7119140625,120.0,0.3333333333333333,0.03125,19.191272070466347,1.667424643999766
e2e_kv_cache_qwen2.5_0.5b_t0004,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,code_complex,69.875,0.0,76.0,2.0,120.0,32.0,998.2744140625,120.0,0.08368200836820083,0.0625,19.759889615577524,1.6194422449998456
e2e_kv_cache_qwen2.5_0.5b_t0005,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,code_complex,69.875,0.0,76.0,1.0,120.0,32.0,998.2744140625,120.0,0.42727272727272725,0.125,15.94554866206057,2.0068296600002213
e2e_kv_cache_qwen2.5_0.5b_t0006,completed,0.0001,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,reasoning,67.5,1.0,83.0,-1.0,83.0,32.0,970.1455078125,52.0,1.0,1.0,17.97281811095784,1.7804664690002028
e2e_kv_cache_qwen2.5_0.5b_t0007,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,reasoning,21.625,0.0,25.0,1.0,52.0,32.0,970.2861328125,52.0,0.273972602739726,0.0625,18.818791205442125,1.700428027000271
e2e_kv_cache_qwen2.5_0.5b_t0008,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,reasoning,21.625,0.0,25.0,1.0,52.0,32.0,970.2861328125,52.0,0.0380952380952381,0.0625,16.494876054901813,1.9399963899995782
e2e_kv_cache_qwen2.5_0.5b_t0009,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,reasoning,34.8125,0.0,42.0,1.0,52.0,32.0,970.4384765625,52.0,0.3316062176165803,0.0625,18.60799588513777,1.7196908360001544
e2e_kv_cache_qwen2.5_0.5b_t0010,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,reasoning,32.4,0.0,28.0,2.0,52.0,5.0,970.4384765625,52.0,0.21951219512195122,0.0625,19.381934829647932,0.25797218099978636
e2e_kv_cache_qwen2.5_0.5b_t0011,completed,0.0004,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,creative,57.5,1.0,73.0,-1.0,73.0,32.0,965.60205078125,42.0,1.0,1.0,17.317322487374817,1.8478607200004262
e2e_kv_cache_qwen2.5_0.5b_t0012,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,creative,18.40625,0.0,22.0,1.0,42.0,32.0,965.71923828125,42.0,0.273972602739726,0.03125,16.158547653413418,1.980376002000412
e2e_kv_cache_qwen2.5_0.5b_t0013,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,creative,18.40625,0.0,22.0,1.0,42.0,32.0,965.71923828125,42.0,0.07390300230946882,0.03125,17.609629966144077,1.817187530999945
e2e_kv_cache_qwen2.5_0.5b_t0014,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,creative,29.65625,0.0,37.0,1.0,42.0,32.0,965.82470703125,42.0,0.3583061889250814,0.03125,16.10194836699722,1.987337139000374
e2e_kv_cache_qwen2.5_0.5b_t0015,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,creative,29.65625,0.0,37.0,1.0,42.0,32.0,965.82470703125,42.0,0.2588996763754045,0.09375,18.19154695910784,1.7590587580007195
e2e_kv_cache_qwen2.5_0.5b_t0016,completed,0.0001,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,instruction,42.5,1.0,58.0,-1.0,58.0,32.0,960.38818359375,27.0,1.0,1.0,16.961883181382362,1.8865829729993493
e2e_kv_cache_qwen2.5_0.5b_t0017,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,instruction,13.59375,0.0,18.0,1.0,27.0,32.0,960.49365234375,27.0,0.0851063829787234,0.03125,17.988600588953055,1.7789043590000801
e2e_kv_cache_qwen2.5_0.5b_t0018,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,instruction,13.59375,0.0,18.0,2.0,27.0,32.0,960.49365234375,27.0,0.14184397163120568,0.0625,15.510558457140295,2.0631107569997766
e2e_kv_cache_qwen2.5_0.5b_t0019,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,instruction,21.90625,0.0,29.0,2.0,29.0,32.0,960.54052734375,27.0,0.09223300970873786,0.09375,17.924196606488543,1.7852961950002282
e2e_kv_cache_qwen2.5_0.5b_t0020,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,instruction,21.90625,0.0,29.0,2.0,29.0,32.0,960.54052734375,27.0,0.09045226130653267,0.0625,17.079791735100617,1.8735591450003994
e2e_kv_cache_qwen2.5_0.5b_t0021,completed,0.0001,1.0,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,full,multilingual,29.5,1.0,38.0,-1.0,38.0,18.0,958.4033203125,21.0,1.0,1.0,21.833433781683706,0.8244236880000244
e2e_kv_cache_qwen2.5_0.5b_t0022,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,multilingual,11.366666666666667,0.0,15.0,1.0,21.0,30.0,958.4853515625,21.0,0.336,0.05555555555555555,18.05380481207357,1.66169958699993
e2e_kv_cache_qwen2.5_0.5b_t0023,completed,0.0000,0.3,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,multilingual,11.65625,0.0,16.0,1.0,21.0,32.0,958.4853515625,21.0,0.13186813186813187,0.05555555555555555,17.510558914908696,1.8274687949997315
e2e_kv_cache_qwen2.5_0.5b_t0024,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,window,multilingual,18.8125,0.0,26.0,1.0,26.0,32.0,958.5322265625,21.0,0.2169811320754717,0.05555555555555555,16.664732099575993,1.9202228880003531
e2e_kv_cache_qwen2.5_0.5b_t0025,completed,0.0000,0.5,e2e_kv_cache,32,Qwen/Qwen2.5-0.5B,h2o,multilingual,18.8125,0.0,26.0,1.0,26.0,32.0,958.5322265625,21.0,0.2094240837696335,0.05555555555555555,18.283810732059457,1.7501821949999794
