trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_max_new_tokens,cfg_model,cfg_policy,cfg_prompt,metric_avg_cache_tokens,metric_avg_logprob_delta_vs_full,metric_final_cache_tokens,metric_max_cache_tokens,metric_mean_logprob,metric_nll,metric_nll_delta_vs_full,metric_peak_memory_mb,metric_perplexity,metric_perplexity_ratio_vs_full,metric_prompt_tokens,metric_scored_tokens,metric_tokens_per_second,metric_top1_match_delta_vs_full,metric_top1_match_rate,metric_total_logprob,metric_wall_time_s
e2e_kv_logprob_qwen2.5_0.5b_t0001,completed,0.0000,1.0,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,full,wikitext_256tok,271.5,0.0,287.0,287.0,-0.6741112460319982,0.6741112460319982,0.0,1083.361328125,1.962288209318157,1.0,256.0,32.0,23.933557852590088,0.0,1.0,-21.571559873023944,1.3370348110001942
e2e_kv_logprob_qwen2.5_0.5b_t0002,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_256tok,205.5,-0.7461097689540566,215.0,256.0,-1.4202210149860548,1.4202210149860548,0.7461097689540566,1083.361328125,4.138034906919499,2.108780395901862,256.0,32.0,20.74413085609926,-0.34375,0.65625,-45.44707247955375,1.542605000999174
e2e_kv_logprob_qwen2.5_0.5b_t0003,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_256tok,205.5,-1.6291908542900728,215.0,256.0,-2.303302100322071,2.303302100322071,1.6291908542900728,1083.361328125,10.007172644392261,5.099746610549878,256.0,32.0,21.853272601394828,-0.4375,0.5625,-73.70566721030627,1.4643115740000212
e2e_kv_logprob_qwen2.5_0.5b_t0004,completed,0.0000,0.75,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_256tok,205.5,-0.4058948073636657,215.0,256.0,-1.080006053395664,1.080006053395664,0.4058948073636657,1083.361328125,2.9446973764299016,1.5006446873841766,256.0,32.0,22.100820588316843,-0.125,0.875,-34.560193708661245,1.4479100390017265
e2e_kv_logprob_qwen2.5_0.5b_t0005,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_256tok,244.8125,-1.2681351367913294,258.0,258.0,-1.9422463828233276,1.9422463828233276,1.2681351367913294,1083.361328125,6.974400560193152,3.5542182473881194,256.0,32.0,21.592400305331214,-0.375,0.625,-62.151884250346484,1.482002905999252
e2e_kv_logprob_qwen2.5_0.5b_t0006,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_256tok,244.8125,-0.3202075987576336,258.0,258.0,-0.9943188447896318,0.9943188447896318,0.3202075987576336,1083.361328125,2.7028826315180887,1.3774136840261955,256.0,32.0,20.98476477879646,-0.0625,0.9375,-31.81820303326822,1.5249158299993724
e2e_kv_logprob_qwen2.5_0.5b_t0007,completed,0.0000,0.9,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_256tok,244.8125,-0.40856031821533634,258.0,258.0,-1.0826715642473346,1.0826715642473346,0.40856031821533634,1083.361328125,2.952556969503476,1.5046500078239837,256.0,32.0,21.14376790955943,-0.125,0.875,-34.645490055914706,1.513448318997689
e2e_kv_logprob_qwen2.5_0.5b_t0008,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,window,wikitext_256tok,265.6875,-2.3290073411910726,281.0,281.0,-3.003118587223071,3.003118587223071,2.3290073411910726,1083.361328125,20.148273195427777,10.267744105963295,256.0,32.0,22.23870267614601,-0.4375,0.5625,-96.09979479113827,1.4389328580000438
e2e_kv_logprob_qwen2.5_0.5b_t0009,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,h2o,wikitext_256tok,265.6875,-0.1410156648701104,281.0,281.0,-0.8151269109021086,0.8151269109021086,0.1410156648701104,1083.361328125,2.2594624045666385,1.1514426850435704,256.0,32.0,20.14692765250001,-0.03125,0.96875,-26.084061148867477,1.588331508999545
e2e_kv_logprob_qwen2.5_0.5b_t0010,completed,0.0000,0.98,e2e_kv_logprob,32,Qwen/Qwen2.5-0.5B,hybrid,wikitext_256tok,265.6875,-0.0005105065234829453,281.0,281.0,-0.6746217525554812,0.6746217525554812,0.0005105065234829453,1083.361328125,1.963290225996231,1.0005106368541155,256.0,32.0,20.314196516083918,0.0,1.0,-21.587896081775398,1.5752530490026402
